Name,Email,Item,Date,Time,Location
John Smith,john.smith@example.com,Manager,01/15/2025,6:00 PM,Main Hall
Mary Johnson,mary.j@example.com,Assistant Manager,01/15/2025,6:00 PM,Main Hall
Bob Williams,bob.w@example.com,Caller,01/15/2025,6:00 PM,Main Hall
Sarah Davis,sarah.d@example.com,Worker,01/15/2025,6:00 PM,Main Hall
Mike Brown,mike.b@example.com,Worker,01/15/2025,6:00 PM,Main Hall
Lisa Garcia,lisa.g@example.com,Worker,01/15/2025,6:00 PM,Main Hall
Tom Martinez,tom.m@example.com,Worker,01/15/2025,6:00 PM,Main Hall
Emily Wilson,emily.w@example.com,Worker,01/15/2025,6:00 PM,Main Hall
John Smith,john.smith@example.com,Caller,01/17/2025,6:00 PM,Main Hall
Mary Johnson,mary.j@example.com,Manager,01/17/2025,6:00 PM,Main Hall
Jennifer Taylor,jennifer.t@example.com,Assistant Manager,01/17/2025,6:00 PM,Main Hall
Mike Brown,mike.b@example.com,Worker,01/17/2025,6:00 PM,Main Hall
Lisa Garcia,lisa.g@example.com,Worker,01/17/2025,6:00 PM,Main Hall
Emily Wilson,emily.w@example.com,Worker,01/17/2025,6:00 PM,Main Hall
John Smith,john.smith@example.com,Manager,01/22/2025,6:00 PM,Main Hall
Jennifer Taylor,jennifer.t@example.com,Caller,01/22/2025,6:00 PM,Main Hall
Mike Brown,mike.b@example.com,Assistant Manager,01/22/2025,6:00 PM,Main Hall
